Società,Email,Sito Internet,Sede Legale,Sede Operativa,Settori Attività
"ALEGAS S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01970140065
 C.F. 01970140065
 Anno di costituzione 2002",alegas@cert.alegas.it,www.gruppoamag.it,"Via VIA DAMIANO CHIESA 18,
18 - 15100
ALESSANDRIA(Alessandria)","Via VIA DAMIANO CHIESA 18,
18 - 15100
ALESSANDRIA(Alessandria)","g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"ALFANO energia s.r.l.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 06278561219
 C.F. 06278561219
 Anno di costituzione 2009",alfanoenergia@alfano.it,www.alfano.it,"Corso Salvatore D'Amato,
106 - 80022
ARZANO(Napoli)","Corso Salvatore D'Amato,
106 - 80022
ARZANO(Napoli)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica"
"ALFANO S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 01256441211
 C.F. 01321970632
 Anno di costituzione 1972",mercatoelettrico@alfano.it,www.alfano.it,"Corso SALVATORE D'AMATO,
106 - 80022
ARZANO(Napoli)","Corso SALVATORE D'AMATO,
106 - 80022
ARZANO(Napoli)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica"
"ALPIQ ENERGIA ITALIA S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 12930940155
 C.F. 12930940155
 Anno di costituzione 1999",info.mercato.ita@alpiq.com,www.alpiq.it,"Via Montalbino,
3 - 20159
MILANO(Milano)","Via Montalbino,
3 - 20159
MILANO(Milano)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale"
"ALTO CALORE BLUENERGY S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 02443400649
 C.F. 02443400649
 Anno di costituzione 2005",clienti@altocalorebluenergy.it,www.altocalorebluenergy.it,"Corso Europa,
41 - 83100
AVELLINO(Avellino)","Corso Europa,
41 - 83100
AVELLINO(Avellino)","g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"AMGA ENERGIA & SERVIZI S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02264130309
 C.F. 02264130309
 Anno di costituzione 2002",logistica@amgaenegiaeservizi.it,www.amgaenergiaeservizi.it,"Via via del Cotonificio,
60 - 33100
UDINE(Udine)","Via via del Cotonificio,
60 - 33100
UDINE(Udine)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"AMGAS   S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 06024230721
 C.F. 06024230721
 Anno di costituzione 2003",info@amgasbarisrl.it,http://www.amgasbarisrl.it,"Corso Alcide De Gasperi,
320 - 70125
BARI(Bari)","Corso Alcide De Gasperi,
320 - 70125
BARI(Bari)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"Anonima Fotovoltaica Italiana S.r.l.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03551350717
 C.F. 03551350717
 Anno di costituzione 2007",francesco.urbano@ordingbo.it,www.anonimafotovoltaica.it,"Via Ferruccio,
8 - 71013
SAN GIOVANNI ROTONDO(Foggia)","Via Ferruccio,
8 - 71013
SAN GIOVANNI ROTONDO(Foggia)","a) produzione dell'energia elettrica 
 b) trasmissione dell'energia elettrica
 d) distribuzione dell'energia elettrica 
 e) misura dell'energia elettrica
 f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 i) attività elettriche estere
 j) servizi statistici di cui al DPCM 12 marzo 2002  q) misura del gas naturale
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale
 t) distribuzione, misura e vendita di altri gas a mezzo di reti
 u) attività gas estere attività non riconducibili ai settori dell'energia elettrica e del gas
 gestione, esercizio, manutenzione e sviluppo delle linee dirette
 servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)
 proprietari non utilizzatori di immobilizzazioni (art. 17 TIU)"
"ARGOS ENERGIA SPA
 Società per azioni (S.p.a.)
 P.IVA 03865690287
 C.F. 03865690287
 Anno di costituzione 2003",commerciale@argosenergia.com,www.argosenergia.com,"Piazza Adelaide Lonigo,
8 - 35030
RUBANO(Padova)","Piazza Adelaide Lonigo,
8 - 35030
RUBANO(Padova)","g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"ARKESIA ENERGIA E GAS S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 02268360605
 C.F. 02268360605
 Anno di costituzione 2002",marcello.proietti@arkesia.it,www.arkesia.it,"Viale Garibaldi ,
7/e - 03018
PALIANO(Frosinone)","Viale Garibaldi ,
7/e - 03018
PALIANO(Frosinone)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"ASCOT S.R.L. in liquidazione
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01758150211
 C.F. 01758150211
 Anno di costituzione 1999",,,"Via via A. Ammon  ,
24 - 39042
Bressanone/Brixen(Bolzano/Bozen)","Via G.Galilei,
10 - 39100
Bolzano/Bozen(Bolzano/Bozen)",g) vendita a clienti liberi dell'energia elettrica
"ASCOTRADE S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 01201910260
 C.F. 01201910260
 Anno di costituzione 1981",info@ascotrade.it,www.ascotrade.it,"Via Via Verizzo ,
1030 - 31053
PIEVE DI SOLIGO(Treviso)","Via Via Verizzo ,
1030 - 31053
PIEVE DI SOLIGO(Treviso)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale
 servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)"
"ASEC TRADE S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03973800877
 C.F. 03973800877
 Anno di costituzione 2002",info@asec.ct.it,,"Via Via C. Colombo ,
150/b - 95121
CATANIA(Catania)","Via Via C. Colombo ,
150/b - 95121
CATANIA(Catania)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"ASJA MARKET 
 Società a responsabilita limitata (S.r.l.)
 P.IVA 08051860016
 C.F. 03032270260
 Anno di costituzione 1994",info@asja.biz,www.asja.biz,"Corso Vinzaglio,
24 - 10121
TORINO(Torino)","Via Ivrea,
70 - 10098
RIVOLI(Torino)","g) vendita a clienti liberi dell'energia elettrica 
 servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)
 altro"
"ASM ENERGIA E AMBIENTE S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03504970173
 C.F. 03504970173
 Anno di costituzione 1999",info@asmea.it,www.asmea.it,"Via Via Lamarmora,
230 - 25124
BRESCIA(Brescia)","Via Via Lamarmora,
230 - 25124
BRESCIA(Brescia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale
 t) distribuzione, misura e vendita di altri gas a mezzo di reti
 altro"
"ASM ENERGIA S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 01985180189
 C.F. 01985180189
 Anno di costituzione 2002",,www.asmenergia.com,"Viale Petrarca,
68 - 27029
VIGEVANO(Pavia)","Viale Petrarca,
68 - 27029
VIGEVANO(Pavia)","g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"ASM VENDITA E SERVIZI S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01991100189
 C.F. 01991100189
 Anno di costituzione 2003",info@asmvoghera.it,www.asmvenditavoghera.it,"Via Gasometro ,
17 - 27058
VOGHERA(Pavia)","Via Gasometro ,
17 - 27058
VOGHERA(Pavia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"A.S.P. S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 01142420056
 C.F. 01142420056
 Anno di costituzione 1995",energia@asp.asti.it,,"Corso Don Minzoni,
86 - 14100
ASTI(Asti)","Corso Don Minzoni,
86 - 14100
ASTI(Asti)",g) vendita a clienti liberi dell'energia elettrica
"A.S.P.M. COMMERCIALE
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01275310199
 C.F. 01275310199
 Anno di costituzione 2002",info@aspmsoresina.it,www.aspmsoresina.it,"Via Cairoli,
17 - 26015
SORESINA(Cremona)","Via Cairoli,
17 - 26015
SORESINA(Cremona)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"ASSOUTILITY S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03728900964
 C.F. 03728900964
 Anno di costituzione 2002",,,"Via VIA PANTANO,
9 - 20122
MILANO(Milano)","Via VIA PANTANO,
9 - 20122
MILANO(Milano)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale"
"ASTEA ENERGIA SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02078510423
 C.F. 02078510423
 Anno di costituzione 2002",info@adriaticaenergia.it,www.adriaticaenergia.it,"Via GUAZZATORE,
163 - 60027
OSIMO(Ancona)","Via GUAZZATORE,
163 - 60027
OSIMO(Ancona)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"ATENA TRADING SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02064090026
 C.F. 02064090026
 Anno di costituzione 2003",info@atenaweb.net,www.atenaweb.net,"Corso CORSO PALESTRO ,
126 - 13100
VERCELLI(Vercelli)","Corso CORSO PALESTRO ,
126 - 13100
VERCELLI(Vercelli)","g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 s) vendita a clienti finali del gas naturale
 attività non riconducibili ai settori dell'energia elettrica e del gas"
"AURA SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03035120546
 C.F. 03035120546
 Anno di costituzione 2008",auraenergia@live.it,,"Via CERQUIGLIA,
99 - 06049
SPOLETO(Perugia)","Via CERQUIGLIA,
99 - 06049
SPOLETO(Perugia)",g) vendita a clienti liberi dell'energia elettrica
"Azienda Elettrica Ticinese Italia Srl
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02950290128
 C.F. 02950290128
 Anno di costituzione 2008",,,"Via San Prospero,
4 - 20121
MILANO(Milano)","Via Adele Martignoni,
25 - 20124
MILANO(Milano)","c) dispacciamento dell'energia elettrica 
 f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica"
"Azienda Energetica Oberland - Rojenbach
 Societa cooperativa a responsabilità limitata (S.c.r.l.)
 P.IVA 01744030212
 C.F. 01744030212
 Anno di costituzione 1999",ego@rolmail.net,,"Via Via Nazionale,
22 - 39027
Curon Venosta/Graun im Vinschgau(Bolzano/Bozen)","Via Nazionale,
22 - 39027
Curon Venosta/Graun im Vinschgau(Bolzano/Bozen)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica"
"AZIENDA ENERGETICA TRADING S.R.L. - ETSCHWERKE TRADING GMBH
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01745520211
 C.F. 01745520211     
 Anno di costituzione 1999",,,"Via Dodiciville ,
8 - 39100
Bolzano/Bozen(Bolzano/Bozen)","Via Dodiciville ,
8 - 39100
Bolzano/Bozen(Bolzano/Bozen)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"AZIENDA ENERGIA E GAS SOC. COOPERATIVA
 Societa cooperativa a responsabilità limitata (S.c.r.l.)
 P.IVA 00488490012
 C.F. 00488490012
 Anno di costituzione 1901",,,"Via VIA CAPPUCCINI,
22/a - 10015
IVREA(Torino)","Via VIA CAPPUCCINI,
22/a - 10015
IVREA(Torino)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale
 produzione combinata di energia elettrica e termica quando il rapporto tra quantità di energia elettrica ed energia termica è inferiore a 1
 altro"
"AZIENDA PUBBLISERVIZI BRUNICO
 
 P.IVA 00734480213
 C.F. 00734480213
 Anno di costituzione 1903",info@pubbliservizi.it,www.pubbliservizi.it,"Via ANELLO NORD,
19 - 39031
Brunico/Bruneck(Bolzano/Bozen)","Via ANELLO NORD,
19 - 39031
Brunico/Bruneck(Bolzano/Bozen)","a) produzione dell'energia elettrica 
 d) distribuzione dell'energia elettrica 
 e) misura dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 attività non riconducibili ai settori dell'energia elettrica e del gas
 produzione combinata di energia elettrica e termica quando il rapporto tra quantità di energia elettrica ed energia termica è inferiore a 1
 trasporto, distribuzione e vendita di energia termica
 gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica"
"AZIENDA SONDRIESE MULTISERVIZI SPA
 Società per azioni (S.p.a.)
 P.IVA 00686710146
 C.F. 00686710146
 Anno di costituzione 2000",asmso@asmso.it,www.asmso.it,"Via Ragazzi del '99,
19 - 23100
SONDRIO(Sondrio)","Via Ragazzi del '99,
19 - 23100
SONDRIO(Sondrio)","d) distribuzione dell'energia elettrica 
 e) misura dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 p) distribuzione del gas naturale
 q) misura del gas naturale
 attività non riconducibili ai settori dell'energia elettrica e del gas
 gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica
 servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)
 altro"
"A2A ENERGIA S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 12883420155
 C.F. 12883420155
 Anno di costituzione 1999",aen.direzione@a2a.eu,www.aemenergia.it,"Via corso di Porta Vittoria ,
4 - 20122
MILANO(Milano)","Via corso di Porta Vittoria ,
4 - 20122
MILANO(Milano)","g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"A2A TRADING S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 13390450156
 C.F. 13390450156
 Anno di costituzione 2001",segreteria.aet@a2a.eu,www.aemtrading.it,"Via corso di Porta Vittoria ,
4 - 20122
MILANO(Milano)","Via corso di Porta Vittoria ,
4 - 20122
MILANO(Milano)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"BAS OMNISERVIZI
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02967250164
 C.F. 02967250164
 Anno di costituzione 2002",info@basomniservizi.it,www.basomniservizi.it,"Via Codussi,
46 - 24124
BERGAMO(Bergamo)","Via Suardi,
26 - 24124
BERGAMO(Bergamo)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"BENACO ENERGIA S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 02323310983
 C.F. 02323310983
 Anno di costituzione 2002",benaco@benacoenergia.it,www.benacoenergia.it,"Via Italo Barbieri,
20 - 25080
PADENGHE SUL GARDA(Brescia)","Via Enrico Fermi,
5/A - 25087
Salò(Brescia)",g) vendita a clienti liberi dell'energia elettrica
"BERGAMO ENERGIA S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 02730770167
 C.F. 02730770167
 Anno di costituzione 1999",info@bergamoenergia.it,www.bergamoenergia.it,"Via Novelli,
11 - 24122
BERGAMO(Bergamo)","Via Novelli,
11 - 24122
BERGAMO(Bergamo)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"BIO S.p.A.
 Società per azioni (S.p.a.)
 P.IVA 00208030189
 C.F. 00208030189
 Anno di costituzione 1972",,,"Via ROMA,
89 - 27053
LUNGAVILLA(Pavia)","Via ROMA,
89 - 27053
LUNGAVILLA(Pavia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"BLUE META SPA
 Società per azioni (S.p.a.)
 P.IVA 02971930165
 C.F. 02971930165
 Anno di costituzione 2003",direzione@bluemeta.it,www.bluemeta.it,"Piazza Luciano Manara,
1 - 24047
TREVIGLIO(Bergamo)","Piazza IV Novembre,
2/A - 24050
ORIO AL SERIO(Bergamo)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"BLUENERGY GROUP S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 02259960306
 C.F. 02259960306
 Anno di costituzione 2002",clienti@bluenergygroup.it,www.bluenergygroup.it,"Via Roma ,
39 - 33030
CAMPOFORMIDO(Udine)","Via Roma ,
39 - 33030
CAMPOFORMIDO(Udine)","g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"BP ITALIA SPA
 Società per azioni (S.p.a.)
 P.IVA 11086240154
 C.F. 01144480587
 Anno di costituzione 1962",,,"Via A. Cechov ,
50/2 - 20151
MILANO(Milano)","Via A. Cechov ,
50/2 - 20151
MILANO(Milano)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale
 attività non riconducibili ai settori dell'energia elettrica e del gas"
"BURGO ENERGIA S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 08737780018
 C.F. 08737780018
 Anno di costituzione 2003",maggio.paola@burgo.com,www.burgoenergia.com,"Via Via Luigi Burgo,
8 - 10099
SAN MAURO TORINESE(Torino)","Via Via Luigi Burgo,
8 - 10099
SAN MAURO TORINESE(Torino)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 altro"
"Cartiera Giorgione 
 Società per azioni (S.p.a.)
 P.IVA 00173840265
 C.F. 00173840265
 Anno di costituzione 1961",info@cartieragiorgione.it,www.cartieragiorgione.it,"Borgo Padova,
112 - 31033
CASTELFRANCO VENETO(Treviso)","Borgo Padova,
112 - 31033
CASTELFRANCO VENETO(Treviso)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica"
"Cartiere di Trevi S.p.A.
 Società per azioni (S.p.a.)
 P.IVA 00160860540
 C.F. 00160860540
 Anno di costituzione 1960",info@cartiereditrevi.com,www.cartiereditrevi.com,"Via Clitunno,
4 - 06039
TREVI(Perugia)","Via Clitunno,
4 - 06039
TREVI(Perugia)",g) vendita a clienti liberi dell'energia elettrica
"CENTOMILACANDELE SCPA
 Società Consortile per Azioni
 P.IVA 13198320155
 C.F. 13198320155
 Anno di costituzione 2000",info@innowatio.it,,"Via della Moscova,
3 - 20121
MILANO(Milano)","Via Padre Elzi,
28/A - 24050
GRASSOBBIO(Bergamo)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
